URL,Question Date,Question,Answer Date,Answer,Doctor,Job,Specialization,Location
https://www.dica33.it/esperto-risponde/domanda-rx-torace-316447.asp,2023-12-18,"Cosa significa questo referto:non lesioni pleuroparenchimali, sottili strie parenchimali sovradiaframmatica sinistra con seno costofrenico omolaterale obliterato in esiti di pleurite",2020-12-05,Il referto si riferisce agli esiti di una pregressa infiammazione della pleura. Non sussistono altre problematiche degne di nota. Cordiali saluti.,MAURO GRANATA,,,
https://www.dica33.it/esperto-risponde/domanda-tosse-persistente-dopo-positivita-al-covid-311949.asp,2022-11-02,"Buon giorno, Dopo essere stato positivo al covid adesso sono negativo, ma ho una tosse secca e persistente Quali farmaci posso prendere?",2020-12-05,Prima di assumere qualsiasi terapia sarà opportuno parlare del problema col suo medico di medicina generale per la eventuale prescrizione di accertamenti atti ad escludere esiti polmonari dovuti alla pregressa malattia. Cordiali saluti.,MAURO GRANATA,Medico Ospedaliero,Medicina interna,ROMA (RM)
https://www.dica33.it/esperto-risponde/domanda-richiesta-informazioni-311675.asp,2022-10-12,L'addensamento polmonare è preoccupante? Cosa significa? Grazie,2020-12-05,Dipende dalla natura della lesione. In genere con tale termine si indica una condizione infiammatoria/infettiva a carico del parenchima polmonare. Saluti cordiali.,MAURO GRANATA,Medico Ospedaliero,Medicina interna,ROMA (RM)
https://www.dica33.it/esperto-risponde/domanda-io-311561.asp,2022-10-05,Si può prendere Seractil 400 come antinfluenzale?,2020-12-05,Il Seractil è un antifiammatorio (FANS) non un antinfluenzale,FABIO TRECATE,Casa di cura convenzionata,Fisiatria,Milano (MI)
https://www.dica33.it/esperto-risponde/domanda-affanno-e-dolori-fisici-310410.asp,2022-06-28,"Ciao! Ho 18 anni, soffro di ansia e stress da qualche anno e da poco ho iniziato ad avere anche dei riscontri fisici. Ogni tanto mi sento come soffocare e inizio ad affannare, resto così per giorni interi e poi mi passa. Provai con alcuni ansiolitici lievi e poi diverse visite mediche, fino alle lastre del torace da cui non apparse nulla. Nel tempo ho notato che ciò mi capita le volte che bevo molto poco per due o tre giorni di fila, e così l'ultima volta che mi sentivo male ho provato a bere più acqua e mi è passato tutto il giorno dopo. Qualche giorno fa ho avuto una situazione molto stressante e non ho bevuto quasi nulla per più giorni. Da tre giorni sono in questa situazione: sento h24 la bocca e la gola secchissime, la pancia molto gonfia e non sento fame, sete o appetito(questo è ciò che sentivo sempre) ma questa volta ogni tanto mi vengono dei dolori/bruciori molto forti sotto l'ascella destra, dietro la schiena o in petto (soprattutto a sinistra). Questi dolori mi vengono una volta ogni quattro o cinque ore. Ho molta paura e prima di organizzare una visita con il mio medico di fiducia vorrei sapere a grandi linee cosa potrebbe essere. Grazie della pazienza.",2020-12-05,"Gentile utente la dualità mente corpo rappresenta una realtà imprescindibile per comprendere lo stato di salute degli esseri umani. Situazioni mentali ed emotive possono infatti condizionare la nostra salute ed è perciò molto importante, specie alla sua età, affrontare il problema in modo corretto e tempestivo. È perciò importante parlare di questi problemi al più presto col suo medico di medicina generale per essere indirizzato ad un percorso psicoterapeutico utile a affrontare le problematiche espresse nel post. Un cordiale saluto.",MAURO GRANATA,Medico Ospedaliero,Medicina interna,ROMA (RM)
https://www.dica33.it/esperto-risponde/domanda-referto-tac-310071.asp,2022-06-06,Buongiorno questo è il referto della tac effettuata sotto consiglio Dell otorino. Secondo voi devo operarmi? Grazie Lievee ispessimento mucoso su base flogistica a livello dei turbinati nasali medi ed inferiori con reperto prevalente a sinistra. Sostanzialmente normoareate le restanti cavità nasali e paranasali esaminate. Lieve deviazione sinistro-convessa del setto nasale con piccolo sperone condro-vomerale all'apice della convessità.,2020-12-05,Deve valutarlo l'otorinolaringoiatra che ha prescritto la TC.,PAOLO PANAGIA,Medico Ospedaliero,,QUILIANO (SV)
https://www.dica33.it/esperto-risponde/domanda-broncodilatatori-senza-cortisone-310186.asp,2022-06-13,"A causa di fegato grasso, mi è stato consigliato di assumere un broncodilatatore senza cortisone",2020-12-05,Perchè assume il broncodilatatore? In linea di massima può assumere il broncodilatatore associato al cortisone ( cosa preferibile) senza problemi.,PAOLO PANAGIA,Medico Ospedaliero,,QUILIANO (SV)
https://www.dica33.it/esperto-risponde/domanda-chiarimento-su-referto-tac-polmone-310199.asp,2022-06-14,"Buon giorno, Sono stata operata per un adenocarcinoma non a piccole cellule nel 2019, dalla tac fatta per controllo, si evidenzia alcuni piccoli ispessimenti nodulariformi della pleura costale posteriore al lobo inferiore di sinistra di asse maggiore circa 8 mm. Mi può spiegare di che si tratta? Sono terrorizzata dalle recidive. La ringrazio tanto. Coletta",2020-12-05,"Se sono dalla stesso lato dell'intervento occorre valutare se fossero già presenti in precedenti controlli : in tal caso potrebbero essere esiti cicatriziali. Negli altri casi è opportuno rieffettuare un controllo TC tra sei mesi. Comunque ""non si fasci la testa prima di essersela rotta""!",PAOLO PANAGIA,Medico Ospedaliero,,QUILIANO (SV)
https://www.dica33.it/esperto-risponde/domanda-durata-vita-enfisema-polmonare-310081.asp,2022-06-07,Quanto si può vivere con Enfisema polmonare? Grazie,2020-12-05,La durata della vita dipende chiaramente dalla gravità della malattia. Comunque se non ha fatto le prove di funzionalità respiratoria le faccia e se fuma smetta. La terapia le verrà proposta dal suo medico curante dopo aver visto gli esami. Ripeto: la cosa più importante è la cessazione del fumo!,PAOLO PANAGIA,Medico Ospedaliero,,QUILIANO (SV)
https://www.dica33.it/esperto-risponde/domanda-covid-310121.asp,2022-06-09,"Mia sorella da martedi è positiva al covid e le si è ingrossato una ghiandola sopra clavicolare, da cosa puo essere dipeso? In piu il dottore le ha prescritto l agumentin havete consigli",2020-12-05,"Linfoadenopatie sopraclaveari sono state descritte dopo la vaccinazione anti covid ; lo stesso non si può dire per la loro associazione alla malattia cosa che pertanto risulta essere un caso molto raro. Consiglierei un'approfondimento diagnostico, in relazione alle dimensioni della linfoghiandola studiata ecograficamente, con agoaspirato. Gli antibiotici nel covid non servono.",PAOLO PANAGIA,Medico Ospedaliero,,QUILIANO (SV)
