URL,Question Date,Question,Answer Date,Answer,Doctor,Job,Specialization,Location
https://www.dica33.it/esperto-risponde/domanda-spiegazione-ecg-319413.asp,2024-10-26,"Buonasera ho 28 anni in salute vado in palestra 5 volte a settimana x circa 1, 5/2 ore al giorno ho un alimentazione a base di proteine e carboidrati ieri prima di pranzo mentre ero in piedi e guardavo il cellulare ho avuto sudorazione sensazione di debolezze e di svenire mi sono steso poi è passato la pressione era 125/80 Alla sera la p/a è 110/70 fc58 non è che la frequenza è troppo bassa? Ieri quando è successo avevo fatto merenda x cui non ero a digiuno mi devo preoccupare? Anche oggi mi è capitata la stessa cosa capogiri stordimento e senso di svenimento e senso di fiato corto Può essere qualcosa di cardiaco? Sono preoccupato Sono andato a fare ecg me lo potete spiegare Referto: Ritmo sinusale, conduzione. av normale, extrasistolia sopra ventricolare, bibd, blocco incompleto di branca dx, ripolarizazzione nella norma HR71 nom Pr 154ms Qrs 103 ms Qt 385 ms Qtc 407 ms Devo fare ulteriori approfondimenti?",2017-05-07,"Le consiglio, dopo aver consultato il suo medico curante, di effettuare una valutazione cardiologica completa, riducendo i suoi allenamenti in palestra e assumendo una dieta variata e completa dal punto di vista nutrizionale.",GIAN PIERO DI BARTOLOMEI,,,
https://www.dica33.it/esperto-risponde/domanda-colesterolo-e-ldl-319388.asp,2024-10-24,"Salve vorrei chiedere informazioni riguardo al colesterolo ed in particolare al valore LDL. Ho fatto 2 volte le analisi del sangue a distanza di più di un mese in 2 laboratori differenti e ho avuto questi risultati: colesterolo 135, LDL 51. 2, trigliceridi 98. La seconda volta così: colesterolo 163, HDL (qui non avevo LDL) 41, e trigliceridi 72. Io ho 27 anni e molti lipomi ma il mio medico dice che il mio colesterolo cattivo ha valori normali, è corretto? Grazie mille per il vostro tempo",2017-05-07,Direi che il suo medico abbia ragione.,GIAN PIERO DI BARTOLOMEI,,,
https://www.dica33.it/esperto-risponde/domanda-referto-ecocardio-319419.asp,2024-10-26,"Buongiorno, ho effettuato ecocardiogramma come controllo per ipercolesterolemia familiare eterozigote. assumo Tovastibe 10+10 Il cardiologo che ha fatto solo eco mi ha detto che è tutto ok e che non ha nulla da segnalare ma leggo di un’insufficienza mitralica che non era mai stata segnalata pertanto vorrei un vostro consiglio Non fumo, faccio sport. Ogni tanto ho un pò di ""fame d'aria"" (sono un pò ansiosa) e qualche extrasistole sporadica durante l'anno (avevo fatto holter e mi avevamo detto che erano legate a carenza magnesio e problemi digestivi). La pressione è sempre a posto Finestra acustica non ottimale. Con questo limite, il ventricolo sinistro appare normale per dimensioni, spessori parietali, cinesi e indici di funzionalità sistolica e diastolica. Minima insufficienza mitralica da deficit di coaptazione dei lembi. Atrio sinistro e sezioni dx nella norma, per quanto esplorabile. Tratto esplorabile aorta ascendente e arco aortico nella norma per dimensioni. Pericardio indenne. Vena cava inferiore piccola, ben collassante. Ventricolo sx: normale. Falso tendine medio ventricolare, reperto di normalità Diametro telediasrolico 42mm Setto IV telediastole 7mm Volume telediastole 2D 71 ml volume telesistole 2D 29 ml Frazione d'eiezione 2D 60% Ventricolo dx: mal val valutabile, apparenti segni di normalità Atrio sinistro Normale Diametro A-P 25mm Atrio destro Normale Aorta normale nel tratto esplorabile Bulbo 25. 00 mm Ascendente 23. 00 mm Valvola mitrale: accenno a inginocchiamento scallop centrali entrambi i lembi rigurgito minimo Valvola aortica Valvola tricuspide DP max 3 mm Hg Rigurgito assente Valvola polmonare normale gradiente 4mmHg Vena cava inferiore normale Come mai mi dicono che l’eco é normale pur avendo questo problema alla valvola mitralica ? (Mai riscontrato prima?). E può essere collegato all’ipercolesterolemia questa cosa ? Grazie infinite",2017-05-07,"Il colesterolo con la mitriale non c’entra niente. L’insufficienza mitralica segnalata dal cardiologo è minima, per cui non comportano alcuna conseguenza emodinamica. Le posso consigliare un controllo ogni due anni, dopo aver consultato il suo medico curante.",GIAN PIERO DI BARTOLOMEI,,,
https://www.dica33.it/esperto-risponde/domanda-pacemaker-319480.asp,2024-11-01,"Buongiorno sono portatore di pacemaker e attualmente sto assumendo questi farmaci :Atorvastatina 20mg, Bisoprololo Sandoz 2, 5mg, Cardioaspirin 100mg. inoltre dovrei fare anche una scintigrafia. Potete dirmi gentilmente il mio problema? GRAZIE",2017-05-07,"Immagino che dovrà fare una scintigrafia cardiaca, visto che è portatore di pacemaker. Ritengo che questo esame sia utile per valutare le condizioni del suo cuore.",GIAN PIERO DI BARTOLOMEI,,,
https://www.dica33.it/esperto-risponde/domanda-valore-ldl-e-hdl-buoni-319464.asp,2024-10-30,"Buonasera, sono un ragazzo di 27 anni(70kg per 170cm) vorrei chiedere informazioni riguardo alle mie analisi del sangue, in particolare il colesterolo che presenta questi dati: colesterolo tot 133, trigliceridi 101, HDL 49 e LDL 63. 8, sono valori normali? Vorrei inoltre chiedere se possibile se i valori della ampiezza distribuzione piastrine (PDW) pari a 9. 6 è buono e se deviazione std ampiezza RBC (RWD-SD) pari a 37. 7 è anch'esso normale oppure no. Grazie in via anticipata",2017-05-07,"Direi che il suo quadro lipidico è più che buono. Quanto alle piastrine, consideri soprattutto il loro numero. Per i globuli rossi, infine, consideri, allo stesso modo delle piastrine, il loro numero, ma consideri anche l’emoglobina, l’ematocrito e il volume corpuscolare medio dei globuli rossi. Per altri dettagli consulti il suo medico curante.",GIAN PIERO DI BARTOLOMEI,,,
https://www.dica33.it/esperto-risponde/domanda-alvola-aortica-verosimilmente-tricuspide-ispessita-con-conservata-aper-318373.asp,2024-07-13,"buongiorno  Sesso: M età 51- 174 cm - peso 80 kg Ho fatto visita dalla cardiologa e questo è il referto:  Esame obiettivo cadiopolmonare: nulla da segnalare. PA 130/80 mmHg. ECG: Ritmo sinusale con FC di 75 bpm. Nei limiti la conduzione atrioventricolare ed intraventricolare. Anomalie a. Specifiche della ripolarizzazione ventricolare. ETT: Per il tratto esplorato normali le diametrie della radice aortica e dell'aorta ascendente, Atrio sinistro nei morfovolurnetrici ( area planimetrata 13 cmq, volume 29 ml). Ventricolo sinistro nei limiti morfovolumetrici con ispessimento diffuso degli spessori parietali. No alterazioni della cinetica segmentaria. Conservata FEVS. Lembi mitralici ispessiti con insufficienza lieve. Valvola aortica verosimilmente tricuspide ispessita con conservata apertura valvolare e associata insufficienza lieve. Normali le diametrie delle sezioni destre e della VCI che collassa normalmente con gli atti del respiro. Assenza di versamento pericardico. Minimo rigurgito tricuspidalico senza PAPs campionata. Pattern E/A nei limiti per età. Profilo pressorio domiciliare. Follow up ecocardiografico. La dottoressa mi hanno detto che c'era "" Valvola aortica verosimilmente tricuspide ispessita con conservata apertura valvolare e associata insufficienza lieve. "" ma non c'era da preoccuparsi anche perchè alla visita di qualche anno fa con altro cardiologo era la stessa cosa. Sinceramente questa cosa mi ha mandato un pò in agitazione e sono molto preoccupato? Mi date un vs parere e consiglio??? p. S. pratico nuoto 2 volte a settimana grazie mille per la vostra disponibilità",2017-05-07,,,,,
https://www.dica33.it/esperto-risponde/domanda-info-316803.asp,2024-02-01,"Buonasera Dottore, se le carotidi sono pulite significa che anche le arterie cardiache lo sono? Grazie",2017-05-07,"In linea generale la patologia aterosclerotica è una malattia multidistrettuale. Ciò detto, in relazione alle caratteristiche personali e cliniche di ciascun soggetto, la malattia può manifestarsi in alcuni distretti risparmiandone altri. Non è perciò possibile trarre conclusioni di questo genere senza una valutazione diagnostica più approfondita. Cordiali saluti.",MAURO GRANATA,,,
https://www.dica33.it/esperto-risponde/domanda-pcr-alta-315441.asp,2023-08-05,"Salve dottori. . Sono un donna di 36anni da 5anni noto sempre nelle analisi che faccio di routine, i globuli bianchi sempre sui 10mila/11mila quando poi il valore parte da 5mila. . Ed anche i linfociti alti 3, 9 ed il massimo è 3, 4. Adesso ho notato anche ves e pcr alto. PCR-21, 50mg/L limite<5, 0 VES dopo la prima ora -30mm. . limite <15 Gli unici problemi che ho cronici sono: colite e quindi diarrea cronica, ed emorroidi spesso gonfie e sanguinanti. Ed anche un forte sovrappeso non sò se può incidere con il Pcr alto ed i globuli bianchi alti. Da cosa possono dipendere questi valori così alti?? Devo rivolgermi ad un ematologo con urgenza?????",2017-05-07,Per quanto sia possibile orientarsi in questo contesto virtuale direi che più che rivolgersi ad un ematologo sarebbe il caso di consultare un gastroenterologo. La sintomatologia e il risultato degli esami potrebbe far sospettare una malattia cronica intestinale. Cordiali saluti.,MAURO GRANATA,Medico Ospedaliero,Medicina interna,ROMA (RM)
https://www.dica33.it/esperto-risponde/domanda-emoglobina-315317.asp,2023-07-22,"Salve vorrei chiedere un parere. . . premetto che sono portatrice sana (eterozigote) di beta talassemia e ogni volta che faccio le analisi del sangue ho sempre avuto i globuli rossi leggermente sfasati compresa l'emoglobina. . . l'anno scorso avevo: emoglobina 11. 2 e ematocrito a 36. . . quest' anno ho: Globuli rossi 5. 57 (4. 00-5. 60) emoglobina 10. 8 (12-16) Ematocrito 34. 7 (35-48) MCV 62. 3 (80-98) MCH 19. 4 (28-36) MCHC 31. 1 (32-37) RDW 16% (11-16) Tutti gli altri valori nella norma globuli bianchi, piastrine, transaminasi, creatinina ecc ecc. . . il medico mi ha detto che essendo portatrice e' normale questo leggero stato anemico. . . lei cosa mi dice a riguardo? grazie",2017-05-07,"L'anemia per adesso non appare particolarmente preoccupante. Dall'esame dell'emocromo appare una riduzione del valore dell'emoglobina nei globuli rossi, come suole osservarsi nella carenza di ferro. Consiglio la valutazione dell'assetto marziale cioè sideremia, ferritinemia e transferrina, oltre al dosaggio di vit B12 e filati, per avere un quadro più completo. Correggere eventuali carenze. Saluti.",NICOLA GIOTTA,Medico Ospedaliero,Nefrologia,Asti (AT)
https://www.dica33.it/esperto-risponde/domanda-anemia-comparsa-in-breve-tempo-315251.asp,2023-07-15,"Buonasera Dottori, mio padre di 83 anni, per cause non concomitanti ha fatto 2 prelievi di sangue a distanza di 6 giorni l'un dall'altro, da cui si nota un abbassamento dell'emoglobina in pochi giorni. Esami del 01/07/2023 (pronto soccorso) Globuli bianchi 8. 11 4. 0 – 11. 0 Globuli rossi 4. 63 4. 4 – 6. 4 Emoglobina 14. 00 13. 00 – 18. 0 Ematocrito 42. 0 40. 0 – 54. 0 Piastrine 171 150. 0 – 450. 0 Troponina 15, 30 < 3. 0 15. 0 Esami del 06/07/2023 Globuli bianchi 7. 900 4. 000 – 10. 800 Globuli rossi 4. 060. 000 4. 000. 000 – 5. 900. 000 Emoglobina 12. 40 * 13. 00 – 17. 0 Ematocrito 37 * 40. 0 – 54. 0 Conta Piastrine 189. 000 150. 000 – 450. 000 Troponina 1. 5 0 – 34, 20 Sono stati ripetuti nuovamente gli esami ed è' stata fatta anche la ricerca di sangue occulto nelle feci su 2 campioni, entrambi risultati negativi. Esami del 13/07/2023 Globuli bianchi 7. 800 4. 000 – 10. 800 Globuli rossi 3. 950. 000 * 4. 000. 000 – 5. 900. 000 Emoglobina 12. 10 * 13. 00 – 17. 0 Ematocrito 36 * 40. 0 – 54. 0 Conta Piastrine 224. 000 150. 000 – 450. 000 Sideremia 51 31 – 144 Ferritina 404. 03 * 21. 81 – 274. 66 Acido folico 3. 00 * 3. 10 – 20 Vit. B12 319 187 - 883 Nell'ultimo periodo il suo stato di salute è nettamente peggiorato, lamenta forte astenia, affaticamento, tremore alle mani e vertigini continue a tal punto da avere difficoltà a stare seduto e tende dunque a stare quasi sempre sdraiato. Problemi di orecchio sono stati esclusi dall'otorino. L'emoglobina è scesa ulteriormente anche se non in modo significativo, ma con essa anche i globuli rossi e l'ematocrito. Mi sembra di capire che il valore dell'emoglobina non sia causato da carenze nutrizionali. Cosa potrebbe significare la ferritina così alta? Sarebbe opportuno contattare un ematologo?",2017-05-07,"Le cause di anemia possono essere molteplici. Lavita media di un globulo rosso è circa 120 giorni ed i valori dell'emoglobina tendono a rimanere stabili nel tempo. Se si riduce il numero dei globuli rossi e quindi l'emoglobina, si parla di anemia. La diagnosi differenziale è da ricercare da una parte in una minore produzione, dall'altra in una perdita di globuli rossi. Nella prima ipotesi il midollo osseo produce meno per minore stimolo eritropoietinico (che a sua volta è legato ad insufficienza renale), a carenze di vitamine, tra cui l'acido folico, ed a malattie proprie del midollo osseo. Nell'ipotesi di perdita di globuli rossi va indagato il tratto gastroenterico, ripetendo più volte la ricerca del sangue occulto e la milza. Può essere d'aiuto una valutazione Ematologica completando però gli esami ematici con lo studio della funzione renale, epatica, elettroliti, elettroforesi proteica. Cordialmente",NICOLA GIOTTA,Medico Ospedaliero,Nefrologia,Asti (AT)
