URL,Question Date,Question,Answer Date,Answer,Doctor,Job,Specialization,Location
https://www.dica33.it/esperto-risponde/domanda-cpk-transaminasi-ast-e-alt-alti-319641.asp,2024-11-17,"Buongiorno, volevo chiederle una informazione. Mia figlia 20 anni, ieri esami del sangue, dal responso sono usciti valori del cpk a 2553, ast 73 e alt 50. Lei è da una settimana che va in palestra in maniera assidua, facendo un notevole sforzo fisico, anche se in maniera preventiva non è andata in palestra due giorni prima degli esami. Volevo capire se i valori sballati sono dovuti al notevole sforzo fisico e c'è dall'altro. Grazie",2017-04-01,"Gentile signora, in linea generale, i valori alterati degli esami effettuati potrebbero, in effetti, essere correlati con un improvviso sforzo fisico di notevole entità. Potrebbe provare a ricontrollarli dopo almeno una decina di giorni di riposo per valutare una loro eventuale riduzione. Qualora dovessere permanere ancora invariati andranno valutate altre possibili cause di sofferenza epatica e muscolare con una visita di persona presso un medico di vostra fiducia. Cordiali saluti dott. Piergiorgio Biondani.",PIERGIORGIO BIONDANI,,,
https://www.dica33.it/esperto-risponde/domanda-colecistectomia-e-intolleranze-315567.asp,2023-08-19,"Buongiorno, Sono stata operata il 18 Luglio di colecistectomia, da allora ho frequenti episodi di diarrea seguiti da giorni di costipazione, rari dolori allo stomaco e rari dolori all'altezza del fegato. Dopo i pasti mi gonfio veramente tanto, da sembrare incinta. Potrebbe essere legato al glutine? Non ho mai avuto intolleranza al glutine prima, solo al lattosio. Oppure un malassorbimento dei grassi? Come faccio a capire? Grazie",2017-04-01,"Ovviamente esiste una serie di esami di laboratorio da eseguire per chiarire la situazione Su piattaforme come questa purtroppo ci é vietato fare prescrizioni di esami. Quindi deve rivolgersi ad un gastroenterologo, o di persona o in telemedicina",MARIO GUSLANDI,Gastroenterologia,Gastroenterologia,MILANO (MI)
https://www.dica33.it/esperto-risponde/domanda-formazione-iperecogena-con-areola-ipoecogena-fegato-315421.asp,2023-08-03,"Salve, ho fatto un ecografia all'addome ed il referto relativo al fegato è il seguente: si segnala Ia presenza al VII segmento di voluminosa formazione iperecogena, con areola ipoecogena di Circa 1, 5 cm contestuale, avente diametro massimo di Circa 5. 7 cm, localizzata in sede periferica, Che sembra avere sviluppo esofiticio (angioma?, altro?). AI V segmento si apprezza formazione ipoecogena di 7mm (formazione Cistica?, altro?). Sono molto preoccupata e non dormo più Ia notte in attesa degli altri approfondimenti diagnostici. Grazie.",2017-04-01,Urge Tac con mezzo di contrasto,MARIO GUSLANDI,Gastroenterologia,Gastroenterologia,MILANO (MI)
https://www.dica33.it/esperto-risponde/domanda-fegato-ingrossato-alla-palpazione-315197.asp,2023-07-10,"Buongiorno, Sono impanicato. Il medico curante che mi vedeva per la prima volta alla palpazione addome facendo inspirare ed espirare ha detto che ho il fegato un po' ingrossato. Non mi ha prescritto per ora nessuna ecografia. Ma tanto è bastato per mandarmi in paranoia e pensare a tutte le cose più brutte Sono ipocondriaco e non faccio esami del sangue da luglio 2020 e ecografia addome dal 2004 per paura di scoprire qualcosa di brutto. Ho 45 anni, non fumo, sedentario, leggerissima pancetta, non sono un bevitore se si esclude un bicchiere di vino al mese a pasto o una birra con pizza. Ho iniziato un prodotto da bere a base di cardo, tarassaco ecc per la depurazione del fegato. Può bastare? Non ho altri sintomi",2017-04-01,Prima di tutto deve eseguire una ecografia addome superiore. Poi si vedrá se il suo fegato abbia bisogno di cure ( e quali),MARIO GUSLANDI,Gastroenterologia,Gastroenterologia,MILANO (MI)
https://www.dica33.it/esperto-risponde/domanda-gamma-gt-alta-314927.asp,2023-06-12,"Buongiorno, sono ipertiroidea l endocrinologa mi ha prescritto Tapazole ma già da i primi giorni i valori delle gamma gt si è sollevato a 55, ha tenuto sotto controllo il fegato e le ultime analisi danno una gamma gt a 125, gli ormoni toroidei nella norma e il TSH ancora basso con valore a 0. 008, ho sospeso il Tapazole, ma l endocrinologa ora mi viene a dire che non c è correlazione tra Tapazole e gamma gt. Ho una alimentazione vegana, non mangio grassi, fritti e limito di tanto o carboidrati. Premetto che non faccio abuso di alcool o altre medicine a parte integratori vit. B12 e vit. D. prescritte dall endocrinologa e ho diminuito di tanto le sigarette che da un pacchetto sono arrivata a 3 max 4 al giorno. Vorrei capire cosa potrebbe significare quel valore così alto della gamma gt. Grazie mille",2017-04-01,La gamma-gt alta non dipende dal tapazole e richiede di eseguire una serie di esami ematochimici che non posso prescrivere qui perché le regole del sito lo vietano,MARIO GUSLANDI,Gastroenterologia,Gastroenterologia,MILANO (MI)
https://www.dica33.it/esperto-risponde/domanda-febbre-315121.asp,2023-07-02,"Sono stato operato alla colecisti, e ho avuto una infezione al fegato con ricostruzione dotto che va dal fegato al intestino. La mia domanda a distanza di un anno almeno una volta alla settimana viene la febbre. E normale?",2017-04-01,Direi di no. Penso sia utile fare il punto della situazione con i medici che hanno effettuato l’intervento. Un saluto cordiale.,MAURO GRANATA,Medico Ospedaliero,Medicina interna,ROMA (RM)
https://www.dica33.it/esperto-risponde/domanda-gamma-gt-95-314072.asp,2023-03-29,Buongiorno sono una donna di 40 anni avendo le risposte delle analisi del sangue mi sono preoccupata per la gamma gt a 95. Premetto che prima delle analisi erano due mesi che non bevevo alcolici quindi non credo sia alta per abuso di alcol cosa potrebbe essere? Che esami devo fare per accertarmi di non avere problemi al fegato? Grazie mille,2017-04-01,Ovviamente non possiamo fare prescrizioni di esami su questo sito. Certamente il dato va indagato o da parte del medico di base o d un gastroenterologo/ epatologo,MARIO GUSLANDI,Gastroenterologia,Gastroenterologia,MILANO (MI)
https://www.dica33.it/esperto-risponde/domanda-transaminasi-e-gamma-gt-alte-gilbert-313861.asp,2023-03-14,"Buonasera Dottore, ho 42 anni e da circa 10 anni effettuo analisi periodiche che mostrano sempre valori delle Transaminasi e della Gamma GT alti: TRANSAMINASI AST(GOT): 42 U/L su 0 - 40 TRANSAMINASI ALT(GPT): 62 U/L su 0 - 45 GAMMA-GT: 152 U/L su 12 - 64 CK (CREATINCHINASI): 186 U/L su 0 - 170 Parallelamente effettuo anche ecografia al fegato che non risulta grasso e quindi non riesco a capire da cosa possano dipendere questi valori così alti. Premetto che non prendo medicinali, bevo alcolici saltuariamente e ho il morbo di Gilbert: Bilirubina totale: 5, 00 mg/dL su 0 - 1, 2 Bilirubina diretta: 1, 20 mg/dL su 0 - 0, 5 Bilirubina indiretta: 3, 80 mg/dL su 0 - 0, 85 Inoltre, non credo di avere epatiti in quanto non si verificano sintomi. Cosa mi suggerisce? Grazie",2017-04-01,Il Gilbert non c’entra. Occorre eseguire una serie di esami di laboratorio specifici per chiarire il motivo dei valori alterati delle transaminasi e soprattutto della gamma-gt,MARIO GUSLANDI,Gastroenterologia,Gastroenterologia,MILANO (MI)
https://www.dica33.it/esperto-risponde/domanda-alt-gtp-alte-dopo-esami-sangue-313771.asp,2023-03-07,"Buongiorno, ho 40 anni e a parte in adolescenza per 20 anni non ho mai più assunto nessun tipo di bevanda alcolica, professandomi astemio. Da qualche mese invece ho iniziato a bere qualche birra a settimana nulla di più. Premetto che una birra da 33 cl già mi fa sentire un pochettino “brillo” e mi fermo a quella. La sera prima di un esame del sangue a cena ne ho bevuta 1 da 33cl e dopo 12 ore ho effettuato un esame del sangue di routine. Ast (got) 26 / Fino a 40 Alt (Gpt) 45 / Fino a 41 * Gamma Gt 35. / 10-71 Colesterolo 231 * L’anno scorso alt (gpt) era 16 e il colesterolo 220 La mia domanda è se questo dato alto del fegato può derivare da l’assunzione di 3/4 birre a settimana dopo che una vita intera senza alcol ? E soprattutto può aver influito la birra da 33cl bevuta la sera prima sentendomi un po’ brillo ? La mia dieta guardando anche il colesterolo non è proprio salutare per vita di cibo fatto di grassi e fritti mangiato spesso. Però questo da sempre e l’anno scorso alt (gpt) era basso. Ultima cosa sono passato da 65 kg ( peso di tutta la mia vita ) a 77 kg nel giro di un anno e mezzo. Sono alto 1. 88. Grazie",2017-04-01,E l’ecografia dell’addome cosa mostra?,MARIO GUSLANDI,Gastroenterologia,Gastroenterologia,MILANO (MI)
https://www.dica33.it/esperto-risponde/domanda-uso-di-deursil-dopo-colecistiectomia-313310.asp,2023-02-03,"Salve, da un anno sono stato operato di colecistiectomia. Posso usare il deursil dopo i pasti principali per facilitare la mia digestione piuttosto lenta? Il farmaco è a carico del SSN nel mio caso? Ho 74 anni. Grazie",2017-04-01,"Difficilmente il Deursil la farebbe digerire meglio ( e dovrebbe acquistarlo di tasca sua) ma potrebbe evitare che si formino altri calcoli, questa volta nella via biliare principale. Per migliorare la digestione servono invece altri tipi di farmaci",MARIO GUSLANDI,Gastroenterologia,Gastroenterologia,MILANO (MI)
