URL,Question Date,Question,Answer Date,Answer,Doctor,Job,Specialization,Location
https://www.dica33.it/esperto-risponde/domanda-orecchie-tappate-317753.asp,2024-05-05,salve. ho un problema alle orecchie da una settimana. domenica scorsa ho avuto un dolore molto forte all’orecchio che ho risolto con delle gocce in farmacia. tuttavia da quel giorno ho l’orecchio come se fosse tappato e penso sia dovuto al muco che non riesce ad uscire. adesso ho avvertito questa sensazione anche nell’altro orecchio. cosa dovrei fare?,2011-02-21,,,,,
https://www.dica33.it/esperto-risponde/domanda-vertigini-312821.asp,2023-01-06,Soffro di vertigini. Ho malattia menier orecchia sinistra,2011-02-21,"La malattia di Meniere da vertigini, ma data la sua età è consigliabile approfondimento clinico, le suggerisco di rivolgersi al Geriatra",FABIO TRECATE,Casa di cura convenzionata,Fisiatria,Milano (MI)
https://www.dica33.it/esperto-risponde/domanda-vestibologia-311420.asp,2022-09-25,Questo farmaco si usa nell'infiammazione del vestibolo?,2011-02-21,Di che farmaco si parla?,FABIO TRECATE,Casa di cura convenzionata,Fisiatria,Milano (MI)
https://www.dica33.it/esperto-risponde/domanda-orecchio-otturato-310200.asp,2022-06-14,"Salve tutti, ho l'orecchio sinistro otturato da 1 settimana senza andare a mare  o piscina. Ho usato Cerulisia uno spray auricolare per la pulizia su consiglio in farmacia e Flomax bustine. Senza risultato, l'orecchio è sempre otturato. Ieri sono andato a fare una visita da un otorino e dopo il controllo mi ha detto che avevo avuto un'infezione e si era formato un tappo. Mi ha messo una soluzione disinfettante che sembrava acqua con una grossa siringa nell'orecchio e dopo qualche secondo ha fatto uscire tutto il liquido e c'erano tanti pezzettini di cerume. Ho pensato di aver risolto ma già nello studio ho notato che non era cambiato niente. Il dottore mi detto che si è risolto, non devo bagnarla per 1 settimana e devo attendere che si asciughi. Secondo voi devo solo attendere? Sono preoccupato Grazie",2011-02-21,In questo periodo postpandemico ho notato. oltre otiti probabilmente virali. Abbi pazienza se non vi sono dolori e febbre scompariranno. Faccia inalazioni nasali in qualche centro termale.,MARIO CUPIDO,Medico Ospedaliero,Biochimica clinica,Cetraro (CS)
https://www.dica33.it/esperto-risponde/domanda-fistola-preauricolare-309146.asp,2022-04-13,"Buongiorno, la mia bimba di 6 mesi ha probabilmente una fistola preauricolare all'orecchio destro. La zona dell'orecchio interessata é leggermente gonfia ma non arrossata né dolorante e dal forellino non è mai uscito pus. La pediatra mi ha consigliato di applicare per 7 giorni il gentalin beta e poi valutare la possibilità di una visita da parte di un chirurgo pediatrico. Volevo sapere se é la giusta strategia o se ci sono altri passi da fare. Grazie",2011-02-21,"quasi sicuramente si tratta di un residuo embrionale, tasca branchiale, che le può risolvere il chirurgo pediatra

Dott. NATALE CALOMINO
Universitario",NATALE CALOMINO,Universitario,,
https://www.dica33.it/esperto-risponde/domanda-fischio-alle-orecchie-che-non-passa-da-piu-di-una-settimana-309062.asp,2022-04-09,"Buongiorno, sono un ragazzo di 24 anni e da più di una settimana ho un fischio alle orecchie costante che non passa. Non riesco a decifrare che orecchio mi fischi e la sensazione è che mi fischino entrambe. Il fischio non lo percepisco se sono in strada o in un posto con un minimo di rumore ma quando sono a casa in silenzio è molto presente e fastidioso. Il medico mi ha detto che non ho blocchi di cerume e mi ha dato un antibiotico in gocce per l\'orecchio sinistro dicendomi che il timpano era un po\' infiammato. La soluzione non mi convince dato che io non sento il fischio solo nell\'orecchio sinistro ma lo sento in entrambe. La situazione un po\' mi preoccupa perché non ho avuto traumi sonori di alcun tipo ne immersioni in acqua in profondità e il fischio non sembra ridursi. Non ho male alle orecchie e non ho giramenti di testa o cose di questo tipo, tantomeno febbre. Grazie per la risposta, buona giornata",2011-02-21,"per bper una diagnosi corretta, bisogna eseguire es. Audiometrico e impedenzometrico",CARLO SCARZELLA,Medico Ospedaliero,Otorinolaringoiatria,Genova (GE)
https://www.dica33.it/esperto-risponde/domanda-l-acufene-causa-sordita-308941.asp,2022-04-02,"Buongiorno Dottori, Soffro di acufene iniziata come monolaterale nell’orecchio dx e poi diventata bilaterale da circa 3 mesi. Non so se nel mio caso sia permanente o meno, ma ho questo dubbio da un po’ di tempo. Grazie a chi risponderà.",2011-02-21,Gli acufeni sono legati a molteplici fattori e data la tua giovane età scompariranno quanto prima ma non pensarci per adesso,MARIO CUPIDO,Medico Ospedaliero,Biochimica clinica,Cetraro (CS)
https://www.dica33.it/esperto-risponde/domanda-tiroide-308920.asp,2022-04-01,"Buongiorno, chiedo il vostro parere, da qualche settimana ho dolore nella deglutizione il medico mi ha prescritto un'ecografia vorrei un parere sul referto. Premetto che fino ad oggi ho fatto regolarmente le analisi senza anomalie nei valori riferiti alla tiroide. ""Parotidi regolari nei tratti analizzabili. Ghiandole sottomandibolari simmetricamente rappresentate. Lobi tiroidei in sede, tendono ad approfondirsi specie il destro nella iatus mediastinico. Il lobo dx ha diametri assiali di mm 25x25, presenta struttura disomogenea; nel suo contesto sono presenti alcune formazioni isoecogene, le maggiori a metà inferiore con diametro craio-caudale di mm 27 e mm 23. Nel loro contesto presenta di areole di aspetto colloido-cistico. L’istmo è ispessito con diametro circa 1cm con presenza di alcune formazioni a struttura mista. Il lobo sx ha diametri assiali di mm 27x17, è in parte occupato da una formazione isoecogena del diametro cranio-caudale di circa 27mm. Nei piani più caudali è riconoscibile una formazione a struttura mista, prevalentemente liquida, di 15mm. Le formazioni descritte presentano vascolarizzazione prevalentemente periferica all’esame color-doppler. Ondulati i profili della ghiandola. La trachea è dislocata posteriormente. Non sono riconoscibili significative linfoadenopatie satelliti. "" Il mio medico potrà ricevermi solo a fine settimana prossima. Grazie per l'attenzione.",2011-02-21,E' probabile che il quadro ecografico spieghi la difficoltà nella deglutizione. Credo sia necessaria valutazione specialistica per la tiroide,MASSIMO GIUSTI,Medico Ospedaliero,,Pistoiese (PT)
https://www.dica33.it/esperto-risponde/domanda-acufene-308834.asp,2022-03-29,BUONGIORNO HO 79 ANNI SOFFRO DI ACUFENE OGNI 2 MESI FACCIO IL SALASSO LA PRESSIONE PRENDO BIVIS E PER LA PROSTATA OMNIC LA SERA E AVODART AL MATTINO NESSUNO MI AIUTA HO UN FIGLIO ING DOPO 16 ANNI NON MI HA FATTO CONOSCERE I SUOI FIGLI NEANCHE A MIA MOGLIE SOFFRO DI ANSIA E DEPRESSIONE GRAZIE,2011-02-21,Si faccia seguire da uno psichiatra e vedrà con i farmaci di oggi la aiuterà. Aggiungi i frammenti di testo copiati in modo che non scadano dopo 1 ora posso consigliare di crearsi una attività di qualsiasi genere sia che tenga interessata ed occupata la sua mente ed il suo corpo e ringrazi la natura che la cura oltre i farmaci,MARIO CUPIDO,Medico Ospedaliero,Biochimica clinica,Cetraro (CS)
https://www.dica33.it/esperto-risponde/domanda-problema-e-aiuto-307159.asp,2022-01-14,Ho avuto dolori ad un dente con radici aperte i primi Giorni di cura dal dentista ho cominciato ad avere colatura su una radice del naso e puzzava da morire sia il muco che giustamente anche la bocca poi andando avanti col dentista meno e adesso sento spesso solo puzza dal naso ho cercato su internet ma parla di tumori e malattie e ho paura e le orecchie mi prudono,2011-02-21,,MASSIMO DEGLI INNOCENTI,,Otorinolaringoiatria,Prato (PO)
